Nom,STOXX® Europe 600 (Gross Return EUR),STOXX® Europe 600 (Price Return EUR),EURO STOXX 50® (Gross Return EUR),EURO STOXX 50® (Price Return EUR),CAC All-Tradable Gross Return,CAC All-Tradable,CAC 40 Gross Return,CAC 40
ISIN,CH0102635015,EU0009658202,CH0102173264,EU0009658145,QS0011131891,FR0003999499,QS0011131834,FR0003500008
Symbole,SXXGR,SXXP,SX5GT,SX5E,CACTR,CACT,PX1GR,CAC
Source,https://stoxx.com/index/sxxgr/?factsheet=true,https://stoxx.com/index/sxxp/?factsheet=true,https://stoxx.com/index/sx5gt/?factsheet=true,https://stoxx.com/index/sx5e/?factsheet=true,https://markets.ft.com/data/indices/tearsheet/summary?s=CACTR%3APAR,https://markets.ft.com/data/indices/tearsheet/summary?s=CACT%3APAR,https://markets.ft.com/data/indices/tearsheet/summary?s=PX1GR%3APAR,https://markets.ft.com/data/indices/tearsheet/summary?s=CAC%3APAR
Date,STOXX_600_Gross_Return,STOXX_600_Price_Return,EURO_STOXX_50_Gross_Return,EURO_STOXX_50_Price_Return,CAC_All_Tradable_Gross_Return,CAC_All_Tradable_Price_Return,CAC_40_Gross_Return,CAC_40_Price_Return
1988-01-31,,,,,,,894.4,893.82
1988-02-29,,,,,,,1113.97,1112.58
1988-03-31,,,,,,,1018.53,1016.71
1988-04-30,,,,,,,1130.7,1127.54
1988-05-31,,,,,,,1242.26,1235.78
1988-06-30,,,,,,,1340.31,1320.17
1988-07-31,,,,,,,1361.62,1320.55
1988-08-31,,,,,,,1333.52,1291.45
1988-09-30,,,,,,,1462.79,1417.32
1988-10-31,,,,,,,1543.97,1495.96
1988-11-30,,,,,,,1524.75,1480.75
1988-12-31,,,,,,,1623.5,1573.94
1989-01-31,,,,,,,1707.78,1654.99
1989-02-28,,,,,,,1631.12,1580.07
1989-03-31,,,,,,,1698.49,1644.81
1989-04-30,,,,,,,1736.63,1680.53
1989-05-31,,,,,,,1791.89,1729.65
1989-06-30,,,,,,,1810.91,1727.86
1989-07-31,,,,,,,1924.13,1814.19
1989-08-31,,,,,,,1991.02,1875.92
1989-09-30,,,,,,,2023.07,1906.12
1989-10-31,,,,,,,1931.15,1819.51
1989-11-30,,,,,,,2007.05,1890.43
1989-12-31,,,,,,,2124.53,2001.08
1990-01-31,,,,,,,1999.63,1882.88
1990-02-28,,,,,,,1964.63,1849.68
1990-03-31,,,,,,,2095.05,1971.79
1990-04-30,,,,,,,2175.71,2046.46
1990-05-31,,,,,,,2244.35,2107.51
1990-06-30,,,,,,,2195.4,2035.03
1990-07-31,,,,,,,2145.42,1965.57
1990-08-31,,,,,,,1845.25,1690.17
1990-09-30,,,,,,,1628.63,1491.76
1990-10-31,,,,,,,1796.56,1645.57
1990-11-30,,,,,,,1753.15,1605.12
1990-12-31,,,,,,,1657.91,1517.93
1991-01-31,,,,,,,1729.08,1580.67
1991-02-28,,,,,,,1925.31,1759.79
1991-03-31,,,,,,,1987.87,1816.36
1991-04-30,,,,,,,1948.53,1779.18
1991-05-31,,,,,,,2040.25,1861.78
1991-06-30,,,,,,,1938.74,1747.62
1991-07-31,,,,,,,1982.92,1754.73
1991-08-31,,,,,,,2106.7,1864.26
1991-09-30,,,,,,,2125.15,1880.59
1991-10-31,,,,,,,2098.12,1856.67
1991-11-30,,,,,,,1966.76,1739.7
1991-12-31,,,,,,,1996.1,1765.66
1992-01-31,,,,,,,2120.8,1875.25
1992-02-29,,,,,,,2243.27,1983.38
1992-03-31,,,,,,,2197.66,1942.43
1992-04-30,,,,,,,2299.3,2031.14
1992-05-31,,,,,,,2304.84,2033.29
1992-06-30,,,,,,,2189.0,1900.63
1992-07-31,,,,,,,2048.33,1754.67
1992-08-31,,,,,,,1966.86,1684.88
1992-09-30,,,,,,,2027.39,1736.73
1992-10-31,,,,,,,2034.0,1742.4
1992-11-30,,,,,,,2068.66,1771.37
1992-12-31,,,,,,,2169.57,1857.78
1993-01-31,,,,,,,2070.47,1772.21
1993-02-28,,,,,,,2318.12,1983.71
1993-03-31,,,,,,,2374.51,2031.38
1993-04-30,,,,,,,2267.86,1939.03
1993-05-31,,,,,,,2211.64,1888.7
1993-06-30,,,,,,,2351.61,1971.87
1993-07-31,,,,,,,2514.73,2085.88
1993-08-31,,,,,,,2672.2,2216.49
1993-09-30,,,,,,,2549.39,2114.63
1993-10-31,,,,,,,2630.56,2181.95
1993-11-30,,,,,,,2544.68,2110.09
1993-12-31,,,,,,,2735.38,2268.22
1994-01-31,,,,,,,2815.97,2334.36
1994-02-28,,,,,,,2699.97,2238.06
1994-03-31,,,,,,,2512.28,2081.94
1994-04-30,,,,,,,2615.14,2165.96
1994-05-31,,,,,,,2458.1,2029.9
1994-06-30,,,,,,,2329.34,1892.0
1994-07-31,,,,,,,2580.45,2074.99
1994-08-31,,,,,,,2573.1,2069.08
1994-09-30,,,,,,,2337.04,1879.25
1994-10-31,,,,,,,2369.93,1905.69
1994-11-30,,,,,,,2458.45,1975.94
1994-12-31,,,,,,,2340.49,1881.15
1995-01-31,,,,,,,2237.76,1797.9
1995-02-28,,,,,,,2211.71,1776.85
1995-03-31,,,,,,,2315.16,1859.48
1995-04-30,,,,,,,2390.29,1918.46
1995-05-31,,,,,,,2434.24,1947.95
1995-06-30,,,,,,,2371.28,1858.82
1995-07-31,,,,,,,2467.34,1920.04
1995-08-31,,,,,,,2420.19,1883.39
1995-09-30,,,,,,,2298.09,1788.35
1995-10-31,,,,,,,2331.03,1814.01
1995-11-30,,,,,,,2350.54,1828.28
1995-12-31,,,,,,,2406.75,1871.97
1996-01-31,,,,,,,2599.03,2021.03
1996-02-29,,,,,,,2560.25,1990.77
1996-03-31,,,,,,,2629.7,2044.77
1996-04-30,,,,,,,2763.73,2146.79
1996-05-31,,,,,,,2730.87,2110.06
1996-06-30,,,,,,,2797.3,2123.7
1996-07-31,,,,,,,2644.11,1995.89
1996-08-31,,,,,,,2610.6,1970.61
1996-09-30,,,,,,,2825.48,2132.81
1996-10-31,,,,,,,2835.73,2140.51
1996-11-30,,,,,,,3069.07,2315.66
1996-12-31,,,,,,,3070.84,2315.73
1997-01-31,,,,,,,3337.76,2516.56
1997-02-28,,,,,,,3458.65,2607.55
1997-03-31,,,,,,,3523.8,2656.68
1997-04-30,,,,,,,3504.2,2639.46
1997-05-31,,,,,,,3449.37,2583.94
1997-06-30,,,,,,,3872.62,2858.26
1997-07-31,,,,,,,4186.01,3075.67
1997-08-31,,,,,,,3770.64,2770.49
1997-09-30,,,,,,,4094.26,3008.26
1997-10-31,,,,,,,3728.24,2739.3
1997-11-30,,,,,,,3891.42,2859.19
1997-12-31,,,,,,,4082.82,2998.91
1998-01-31,,,,,,,4319.05,3172.14
1998-02-28,,,,,,,4659.35,3421.92
1998-03-31,,,,,,,5277.42,3875.81
1998-04-30,,,,,,,5287.5,3880.92
1998-05-31,,,,,,,5538.27,4041.16
1998-06-30,,,,,,,5822.28,4203.45
1998-07-31,,,,,,,5797.96,4177.31
1998-08-31,,,,,,,5068.63,3651.85
1998-09-30,,,,,,,4438.64,3197.95
1998-10-31,,,,,,,4889.7,3522.93
1998-11-30,,,,,,,5334.52,3843.38
1998-12-31,,,,,,,5473.6,3942.66
1999-01-31,,,,,,,5903.12,4251.8
1999-02-28,,,,,,,5682.73,4092.94
1999-03-31,,,,,,,5829.04,4197.88
1999-04-30,,,,,,,6122.06,4405.35
1999-05-31,,,,,,,6078.59,4351.29
1999-06-30,,,,,,,6402.5,4536.61
1999-07-31,,,,,,,6204.14,4382.06
1999-08-31,,,,,,,6497.42,4589.22
1999-09-30,,,,,,,6500.58,4591.42
1999-10-31,,,,,,,6921.36,4888.62
1999-11-30,,,,,,,7562.72,5341.62
1999-12-31,,,,,,,8437.21,5958.32
2000-01-31,,,,,,,8014.51,5659.81
2000-02-29,,,,,,,8766.83,6190.96
2000-03-31,,,,,,,8902.19,6286.05
2000-04-30,,,,,,,9104.88,6419.72
2000-05-31,,,,,,,9166.8,6426.26
2000-06-30,,,,,,,9250.71,6446.54
2000-07-31,,,,,,,9400.49,6542.49
2000-08-31,,,,,,,9519.64,6625.42
2000-09-30,,,,,,,9005.37,6266.63
2000-10-31,,,,,,,9193.61,6397.66
2000-11-30,,,,,,,8518.78,5928.08
2000-12-31,,,,,,,8517.6,5926.42
2001-01-31,,,,,,,8621.18,5998.49
2001-02-28,,,,,,,7714.3,5367.48
2001-03-31,,,,,,,7446.25,5180.45
2001-04-30,,,,,,,8106.84,5640.03
2001-05-31,,,,,,,7937.88,5454.19
2001-06-30,,,,,,,7660.84,5225.33
2001-07-31,,,,,,,7461.12,5085.51
2001-08-31,,,,,,,6879.89,4689.34
2001-09-30,,,,,,,5984.44,4079.02
2001-10-31,,,,,,,6369.18,4341.29
2001-11-30,,,,,,,6566.9,4476.06
2001-12-31,,,,,,,6786.03,4624.58
2002-01-31,,,,,,,6547.3,4461.87
2002-02-28,,,,,,,6549.0,4462.99
2002-03-31,,,,,,,6880.22,4688.02
2002-04-30,,,,,,,6570.54,4462.74
2002-05-31,,,,,,,6381.15,4274.64
2002-06-30,,,,,,,5863.81,3897.99
2002-07-31,,,,,,,5148.33,3415.38
2002-08-31,,,,,,,5074.24,3366.21
2002-09-30,,,,,,,4186.76,2777.45
2002-10-31,,,,,,,4748.41,3150.04
2002-11-30,,,,,,,5014.63,3326.65
2002-12-31,,,,,,,4619.7,3063.91
2003-01-31,,,,,,,4429.66,2937.88
2003-02-28,,,,,,,4152.54,2754.07
2003-03-31,,,,,,,3949.11,2618.46
2003-04-30,,,,,,,4478.01,2953.67
2003-05-31,,,,,,,4609.79,2991.75
2003-06-30,,,,,,,4799.65,3084.1
2003-07-31,,,,,,,4995.98,3210.27
2003-08-31,,,,,,,5153.4,3311.42
2003-09-30,,,,,,,4878.83,3134.99
2003-10-31,,,,,,,5249.55,3373.2
2003-11-30,,,,,,,5329.83,3424.79
2003-12-31,,,,,,,5537.81,3557.9
2004-01-31,,,,,,,5663.87,3638.44
2004-02-29,,,,,,,5799.31,3725.44
2004-03-31,,,,,,,5644.15,3625.23
2004-04-30,,,,,,,5729.68,3674.28
2004-05-31,,,,,,,5853.68,3669.63
2004-06-30,,,,,,,6001.95,3732.99
2004-07-31,,,,,,,5863.86,3647.1
2004-08-31,,,,,,,5778.94,3594.28
2004-09-30,,,,,,,5853.75,3640.61
2004-10-31,,,,,,,5960.21,3706.82
2004-11-30,,,,,,,6054.53,3753.75
2004-12-31,,,,,,,6168.94,3821.16
2005-01-31,,,,,,,6318.85,3913.69
2005-02-28,,,,,,,6502.05,4027.16
2005-03-31,,,,,,,6567.64,4067.78
2005-04-30,,,,,,,6329.85,3911.71
2005-05-31,,,,,,,6774.6,4120.73
2005-06-30,,,,,,,6987.7,4229.35
2005-07-31,,,,,,,7355.58,4451.74
2005-08-31,,,,,,,7269.04,4399.36
2005-09-30,,,,,,,7600.6,4600.02
